,To Do,In Progress,In Review,Done
2020-04-18,5.0,0.0,0.0,0.0
2020-04-19,5.0,0.0,0.0,0.0
2020-04-20,5.0,0.0,0.0,0.0
2020-04-21,5.0,0.0,0.0,0.0
2020-04-22,5.0,0.0,0.0,0.0
2020-04-23,5.0,0.0,0.0,0.0
2020-04-24,5.0,0.0,0.0,0.0
2020-04-25,5.0,0.0,0.0,0.0
2020-04-26,5.0,0.0,0.0,0.0
2020-04-27,5.0,0.0,0.0,0.0
2020-04-28,5.0,0.0,0.0,0.0
2020-04-29,5.0,0.0,0.0,0.0
2020-04-30,5.0,0.0,0.0,0.0
2020-05-01,5.0,0.0,0.0,0.0
2020-05-02,5.0,0.0,0.0,0.0
2020-05-03,5.0,0.0,0.0,0.0
2020-05-04,5.0,0.0,0.0,0.0
2020-05-05,5.0,0.0,0.0,0.0
2020-05-06,33.0,0.0,0.0,0.0
2020-05-07,33.0,0.0,0.0,0.0
2020-05-08,33.0,0.0,0.0,0.0
2020-05-09,48.0,0.0,0.0,0.0
2020-05-10,48.0,4.0,0.0,0.0
2020-05-11,48.0,4.0,0.0,0.0
2020-05-12,48.0,4.0,0.0,0.0
2020-05-13,48.0,4.0,0.0,0.0
2020-05-14,48.0,4.0,0.0,0.0
2020-05-15,48.0,4.0,0.0,0.0
2020-05-16,48.0,4.0,0.0,0.0
2020-05-17,48.0,4.0,0.0,0.0
2020-05-18,48.0,4.0,0.0,0.0
2020-05-19,49.0,4.0,0.0,0.0
2020-05-20,49.0,4.0,0.0,0.0
2020-05-21,49.0,4.0,0.0,0.0
2020-05-22,51.0,5.0,0.0,0.0
2020-05-23,51.0,5.0,0.0,0.0
2020-05-24,51.0,5.0,0.0,0.0
2020-05-25,51.0,5.0,0.0,0.0
2020-05-26,51.0,5.0,0.0,0.0
2020-05-27,51.0,5.0,0.0,0.0
2020-05-28,51.0,5.0,0.0,0.0
2020-05-29,51.0,6.0,0.0,0.0
2020-05-30,51.0,6.0,0.0,0.0
2020-05-31,51.0,6.0,0.0,0.0
2020-06-01,51.0,6.0,0.0,0.0
2020-06-02,51.0,6.0,0.0,0.0
2020-06-03,51.0,6.0,0.0,0.0
2020-06-04,51.0,6.0,0.0,0.0
2020-06-05,51.0,6.0,0.0,0.0
2020-06-06,51.0,6.0,0.0,0.0
2020-06-07,51.0,6.0,0.0,0.0
2020-06-08,51.0,6.0,0.0,0.0
2020-06-09,51.0,6.0,0.0,0.0
2020-06-10,51.0,6.0,0.0,0.0
2020-06-11,51.0,6.0,3.0,3.0
2020-06-12,51.0,6.0,3.0,3.0
2020-06-13,51.0,6.0,3.0,3.0
2020-06-14,51.0,6.0,3.0,3.0
2020-06-15,51.0,6.0,3.0,3.0
2020-06-16,51.0,6.0,3.0,3.0
2020-06-17,51.0,6.0,3.0,3.0
2020-06-18,51.0,6.0,3.0,3.0
2020-06-19,51.0,6.0,3.0,3.0
2020-06-20,51.0,6.0,3.0,3.0
2020-06-21,51.0,6.0,3.0,3.0
2020-06-22,51.0,6.0,3.0,3.0
2020-06-23,51.0,6.0,3.0,3.0
2020-06-24,51.0,6.0,3.0,3.0
2020-06-25,51.0,6.0,3.0,3.0
2020-06-26,51.0,6.0,3.0,3.0
2020-06-27,51.0,6.0,3.0,3.0
2020-06-28,51.0,6.0,3.0,3.0
2020-06-29,51.0,6.0,3.0,3.0
2020-06-30,51.0,6.0,3.0,3.0
2020-07-01,51.0,6.0,3.0,3.0
2020-07-02,51.0,6.0,3.0,3.0
2020-07-03,51.0,6.0,3.0,3.0
2020-07-04,51.0,6.0,3.0,3.0
2020-07-05,51.0,6.0,3.0,3.0
2020-07-06,51.0,6.0,3.0,3.0
2020-07-07,51.0,6.0,3.0,3.0
2020-07-08,51.0,6.0,3.0,3.0
2020-07-09,51.0,6.0,3.0,3.0
2020-07-10,51.0,6.0,3.0,3.0
2020-07-11,51.0,6.0,3.0,3.0
2020-07-12,51.0,6.0,3.0,3.0
2020-07-13,51.0,6.0,3.0,3.0
2020-07-14,51.0,6.0,3.0,3.0
2020-07-15,51.0,6.0,3.0,3.0
2020-07-16,51.0,6.0,3.0,3.0
2020-07-17,51.0,6.0,3.0,3.0
2020-07-18,51.0,6.0,3.0,3.0
2020-07-19,51.0,6.0,3.0,3.0
2020-07-20,51.0,6.0,3.0,3.0
2020-07-21,51.0,6.0,3.0,3.0
2020-07-22,51.0,6.0,3.0,3.0
2020-07-23,51.0,6.0,3.0,3.0
2020-07-24,51.0,6.0,3.0,3.0
2020-07-25,51.0,6.0,3.0,3.0
2020-07-26,109.0,6.0,3.0,3.0
2020-07-27,109.0,6.0,3.0,3.0
2020-07-28,109.0,6.0,3.0,3.0
2020-07-29,109.0,6.0,3.0,3.0
2020-07-30,109.0,6.0,3.0,3.0
2020-07-31,132.0,6.0,3.0,3.0
2020-08-01,132.0,6.0,3.0,3.0
2020-08-02,132.0,6.0,3.0,3.0
2020-08-03,132.0,6.0,3.0,3.0
2020-08-04,132.0,6.0,3.0,3.0
2020-08-05,132.0,6.0,3.0,3.0
2020-08-06,132.0,6.0,3.0,3.0
2020-08-07,135.0,17.0,14.0,13.0
2020-08-08,135.0,17.0,14.0,13.0
2020-08-09,135.0,17.0,14.0,13.0
2020-08-10,135.0,17.0,14.0,13.0
2020-08-11,135.0,17.0,14.0,13.0
2020-08-12,136.0,17.0,14.0,13.0
2020-08-13,136.0,17.0,14.0,13.0
2020-08-14,141.0,17.0,14.0,13.0
2020-08-15,141.0,17.0,14.0,13.0
2020-08-16,141.0,17.0,14.0,13.0
2020-08-17,141.0,18.0,14.0,13.0
2020-08-18,145.0,20.0,14.0,13.0
2020-08-19,145.0,20.0,14.0,13.0
2020-08-20,145.0,20.0,14.0,13.0
2020-08-21,146.0,23.0,15.0,14.0
2020-08-22,146.0,23.0,15.0,14.0
2020-08-23,146.0,23.0,15.0,14.0
2020-08-24,147.0,24.0,19.0,18.0
